Total batches: 225
Batch info (theta, phi, gamma, psi_deg, E1, E2):
Batch 32: theta=50.00, phi=25.00, gamma=0.530, psi_deg=35.2, E1=[0.00453153893518325, 0.0034713602200744193, 0.001618721854835323], E2=[0.0031345016021531442, 0.0002477496205641845, 0.00011552754537407443]
Batch 33: theta=50.00, phi=50.00, gamma=0.444, psi_deg=9.7, E1=[0.003213938048432697, 0.0024620193825305205, 0.002934120444167326], E2=[0.0016933819231677513, 0.0009231917268953791, 0.0011002170571808207]
Batch 34: theta=50.00, phi=75.00, gamma=0.506, psi_deg=176.8, E1=[0.0012940952255126037, 0.0009913344563707307, 0.00369971055846924], E2=[-0.0005447768580750383, -0.0005108777331586014, -0.001906621656603516]
Batch 35: theta=50.00, phi=100.00, gamma=0.212, psi_deg=21.5, E1=[-0.0008682408883346515, -0.0006651111077974449, 0.0037720325336774445], E2=[0.0001259093054736256, -0.00014260660079501067, 0.0008087622224462245]
Batch 36: theta=50.00, phi=125.00, gamma=0.765, psi_deg=105.7, E1=[-0.0028678821817552306, -0.0021969252088535254, 0.0031375343579856654], E2=[0.003413348312327478, -0.0007558278683284441, 0.0010794340635934087]
Batch 37: theta=50.00, phi=150.00, gamma=0.524, psi_deg=19.3, E1=[-0.004330127018922193, -0.003317069740844692, 0.0019151111077974447], E2=[-0.0014802341712300765, -0.002291589933677429, 0.0013230500650809]
Batch 38: theta=50.00, phi=175.00, gamma=0.306, psi_deg=162.0, E1=[-0.004980973490458728, -0.0038156470636888486, 0.0003338258620887537], E2=[0.0018135892540242886, 0.0006416618142485377, -5.6138134564224276e-05]
Batch 39: theta=50.00, phi=200.00, gamma=0.475, psi_deg=96.5, E1=[-0.004698463103929542, -0.0035992315519647712, -0.0013100131511469247], E2=[0.0020590026634525714, -0.0018920494290494848, -0.0006886496739343754]
Batch 40: theta=50.00, phi=225.00, gamma=0.106, psi_deg=54.1, E1=[-0.0035355339059327385, -0.00270837610209851, -0.002708376102098509], E2=[0.00010884853721851225, -0.00038149074884023115, -0.00038149074884023115]
Batch 41: theta=50.00, phi=250.00, gamma=0.493, psi_deg=110.2, E1=[-0.0017101007166283428, -0.001310013151146924, -0.0035992315519647712], E2=[0.0020640909109555646, -4.779058766280316e-05, -0.00013130356046601863]
Batch 42: theta=50.00, phi=275.00, gamma=0.926, psi_deg=112.6, E1=[0.00043577871373828945, 0.0003338258620887525, -0.0038156470636888486], E2=[0.003119639578465731, -0.00015148029730966718, 0.0017314277210873398]
Batch 43: theta=50.00, phi=300.00, gamma=0.735, psi_deg=27.0, E1=[0.0025000000000000005, 0.0019151111077974456, -0.003317069740844692], E2=[0.0029160070123715703, 0.0008382977797023959, -0.0014519743463167313]
Batch 44: theta=50.00, phi=325.00, gamma=0.771, psi_deg=149.6, E1=[0.004095760221444958, 0.0031375343579856645, -0.0021969252088535267], E2=[-0.0012286755842916657, -0.003397776206461888, 0.0023791485129142074]
Batch 45: theta=50.00, phi=350.00, gamma=0.670, psi_deg=78.9, E1=[0.00492403876506104, 0.0037720325336774445, -0.0006651111077974451], E2=[0.0031552561106554288, -0.002702847122345388, 0.0004765848723997253]
Batch 46: theta=75.00, phi=0.00, gamma=0.237, psi_deg=102.3, E1=[0.005, 0.004829629131445342, 0.0], E2=[0.0008667232890814331, -0.0014037119198735096, 0.0]
Batch 47: theta=75.00, phi=25.00, gamma=0.575, psi_deg=171.3, E1=[0.00453153893518325, 0.004377130490327965, 0.002041089468383674], E2=[-0.00215475530967254, -0.0028485430940186404, -0.0013282974593254262]
Batch 48: theta=75.00, phi=50.00, gamma=0.532, psi_deg=90.5, E1=[0.003213938048432697, 0.0031044257650742284, 0.00369971055846924], E2=[0.0025570838011631835, -0.0011129684384326652, -0.0013263841349460963]
Batch 49: theta=75.00, phi=75.00, gamma=0.583, psi_deg=147.5, E1=[0.0012940952255126037, 0.0012499999999999998, 0.004665063509461097], E2=[0.0008789609731094115, -0.000719600866065779, -0.0026855869933280546]
Batch 50: theta=75.00, phi=100.00, gamma=0.151, psi_deg=120.5, E1=[-0.0008682408883346515, -0.000838656297482603, 0.004756256212820989], E2=[0.0006967821869849595, 4.4768180088699455e-05, -0.0002538929658344128]
