switch_id,i_path,new_sign,new_surface,wall,K_change,Q0_change,Q1_change_model,Q1_change_true,K_boundary,Q0_boundary,Q1_boundary_base_eval,Q1_boundary_on_new_surface,dK_old,dQ0_old,dQ1_old,ddK,ddQ0,dK_new,dQ0_new,dQ1_new_surface,inside_new_hull,t_old,s_old,t_new,s_new,t_change,s_change,t_boundary,s_boundary,K_boundary_base,Q0_boundary_base,K_change_base_new,Q0_change_base_new,dQ1_increment
1,241,1,blue,upper,4.4655527674469411e+01,4.4655527674468949e+01,1.6152756853249628e+01,1.5799079581162690e+01,4.4655527674469184e+01,4.4655527674469184e+01,1.6099322367896775e+01,1.6099322367896775e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2737367544323206e-13,-2.3447910280083306e-13,2.2737367544323206e-13,-2.3447910280083306e-13,-3.0024278673408489e-01,1,0.0000000000000000e+00,0.0000000000000000e+00,-3.5527136788005009e-15,2.3092638912203256e-13,4.4655527674469184e+01,2.3092638912203256e-13,4.4655527674469184e+01,0.0000000000000000e+00,4.4655527674469184e+01,4.4655527674469184e+01,4.4655527674469184e+01,4.4655527674469184e+01,-3.0024278673408489e-01
2,481,-1,red,lower,1.7356222108036587e+02,-8.4251165731424166e+01,-2.0734115068980369e+01,-2.0579861600437368e+01,1.2890669340589503e+02,-1.2890669340589503e+02,-1.3575148989317597e+01,-1.3406044142134306e+01,2.2737367544323206e-13,-2.3447910280083306e-13,1.6910484718329144e-01,4.4655527674470846e+01,4.4655527674470861e+01,4.4655527674471074e+01,4.4655527674470626e+01,-7.0047126111197713e+00,1,-3.5527136788005009e-15,2.3092638912203256e-13,4.4655527674470846e+01,2.2382096176443156e-13,4.4655527674470854e+01,1.2890669340589503e+02,0.0000000000000000e+00,1.2890669340589503e+02,1.2890669340589480e+02,-1.2890669340589480e+02,1.2890669340589480e+02,-1.2890669340589480e+02,-7.1738174583030627e+00
3,721,1,blue,upper,3.0263795780536526e+02,4.4824570993569822e+01,1.8440022939085509e+01,1.9736905128855405e+01,1.7373126439946776e+02,1.7373126439946731e+02,1.3538450487151010e+01,1.3238207700416925e+01,4.4655527674471074e+01,4.4655527674470626e+01,-3.0024278673408489e-01,1.2890669340589750e+02,-1.2890669340589750e+02,1.7356222108036857e+02,-8.4251165731426880e+01,6.1984546417043944e+00,1,4.4655527674470846e+01,2.2382096176443156e-13,4.4655527674470846e+01,1.2890669340589773e+02,1.7373126439946753e+02,1.2890669340589773e+02,1.7373126439946753e+02,2.2737367544323206e-13,1.2907573672499669e+02,1.2907573672499669e+02,1.2907573672499669e+02,1.2907573672499672e+02,6.4986974284384793e+00
4,961,-1,red,lower,4.3259014317108995e+02,-8.5127614372151996e+01,-1.9351892209575645e+01,-2.0356211424130425e+01,3.0351440644609181e+02,-2.1420335109715012e+02,-1.3349667982575170e+01,-2.0354380593694941e+01,1.7356222108036857e+02,-8.4251165731426880e+01,-7.0047126111197713e+00,1.2907573672499814e+02,1.2907573672499814e+02,3.0263795780536668e+02,4.4824570993571257e+01,-7.0065434415552552e+00,1,4.4655527674470846e+01,1.2890669340589773e+02,1.7373126439946896e+02,1.2890669340589773e+02,1.7373126439946898e+02,2.5885887877162099e+02,4.4655527674470846e+01,2.5885887877162099e+02,1.2995218536572324e+02,-1.2995218536572324e+02,1.2995218536572327e+02,-1.2995218536572327e+02,-1.8308304354839322e-03
