i,K_path,Q0_path,Q1_true,Q1_model,active_surface,branch_sign_eff,t_path,s_path
34,4.9515946898281982e-14,-2.4980018054066022e-15,6.3837823915946501e-15,3.6149742754787439e-07,red,-1.0000000000000000e+00,2.3508972546437690e-14,2.6006974351844292e-14
35,4.9571458049513240e-14,-2.5535129566378600e-15,6.8278716014447127e-15,3.6149742754787439e-07,red,-1.0000000000000000e+00,2.3508972546437690e-14,2.6062485503075550e-14
36,5.3401727484470030e-14,-6.3837823915946501e-15,6.3837823915946501e-15,2.4228813799709314e-07,red,-1.0000000000000000e+00,2.3508972546437690e-14,2.9892754938032340e-14
37,5.7065463465733046e-14,-2.7200464103316335e-15,5.7731597280508140e-15,2.1248581560939783e-07,red,-1.0000000000000000e+00,2.7172708527700706e-14,2.9892754938032340e-14
38,5.9507954119908391e-14,-5.1625370645069779e-15,6.7168492989821971e-15,1.6778233202785486e-07,red,-1.0000000000000000e+00,2.7172708527700706e-14,3.2335245592207684e-14
39,5.9896532178527195e-14,-5.5511151231257827e-15,7.0499162063697440e-15,1.6778233202785486e-07,red,-1.0000000000000000e+00,2.7172708527700706e-14,3.2723823650826489e-14
40,6.3338223554865181e-14,-8.9928064994637680e-15,8.9372953482325102e-15,1.8268349322170252e-07,red,-1.0000000000000000e+00,2.7172708527700706e-14,3.6165515027164474e-14
41,6.9722005946459831e-14,-2.6090241078691179e-15,5.9396931817445875e-15,2.6221300686302129e-08,red,-1.0000000000000000e+00,3.3556490919295356e-14,3.6165515027164474e-14
42,7.6216810640516997e-14,-9.1038288019262836e-15,7.9380946260698693e-15,-2.5932763492164668e-08,red,-1.0000000000000000e+00,3.3556490919295356e-14,4.2660319721221640e-14
43,8.2267526124724100e-14,-3.0531133177191805e-15,4.7184478546569153e-15,-3.7537120078923181e-08,red,-1.0000000000000000e+00,3.9607206403502460e-14,4.2660319721221640e-14
44,8.2767126485805420e-14,-3.5527136788005009e-15,5.9952043329758453e-15,-3.7537120078923181e-08,red,-1.0000000000000000e+00,3.9607206403502460e-14,4.3159920082302961e-14
45,8.4432461022743155e-14,-5.2180482157382357e-15,9.7699626167013776e-15,-3.7537120078923181e-08,red,-1.0000000000000000e+00,3.9607206403502460e-14,4.4825254619240695e-14
46,8.7874152399081140e-14,-8.6597395920762210e-15,7.1609385088322597e-15,-9.7141764854313806e-08,red,-1.0000000000000000e+00,3.9607206403502460e-14,4.8266945995578681e-14
47,9.3425267522206923e-14,-1.4210854715202004e-14,6.2727600891321345e-15,-1.9729611722141271e-07,red,-1.0000000000000000e+00,3.9607206403502460e-14,5.3818061118704463e-14
48,9.5645713571457236e-14,-1.1990408665951691e-14,1.1213252548714081e-14,-1.8239495602756506e-07,red,-1.0000000000000000e+00,4.1827652452752773e-14,5.3818061118704463e-14
49,1.0752509993494641e-13,-1.1102230246251565e-16,9.4924068605450884e-15,-3.5046150514972396e-07,red,-1.0000000000000000e+00,5.3707038816241948e-14,5.3818061118704463e-14
50,1.1551870571224754e-13,-8.1046280797636427e-15,8.4376949871511897e-15,-3.2065918276202865e-07,red,-1.0000000000000000e+00,5.3707038816241948e-14,6.1811666896005590e-14
51,1.2073675392798577e-13,-2.8865798640254070e-15,1.0491607582707729e-14,-3.8771440813434310e-07,red,-1.0000000000000000e+00,5.8925087031980183e-14,6.1811666896005590e-14
52,1.2750911437819923e-13,-9.6589403142388619e-15,8.4376949871511897e-15,-3.7281324694049545e-07,red,-1.0000000000000000e+00,5.8925087031980183e-14,6.8584027346219045e-14
53,1.3028467193976212e-13,-1.2434497875801753e-14,8.7152507433074788e-15,-3.4301092455280013e-07,red,-1.0000000000000000e+00,5.8925087031980183e-14,7.1359584907781937e-14
54,1.3139489496438728e-13,-1.1324274851176597e-14,9.8254737679326354e-15,-2.2380163500201888e-07,red,-1.0000000000000000e+00,6.0035310056605340e-14,7.1359584907781937e-14
55,1.3228307338408740e-13,-1.2212453270876722e-14,1.3433698597964394e-14,-4.9202253649127670e-07,red,-1.0000000000000000e+00,6.0035310056605340e-14,7.2247763327482062e-14
56,1.3872236692691331e-13,-5.7731597280508140e-15,6.4392935428259079e-15,-3.5791208574664779e-07,red,-1.0000000000000000e+00,6.6474603599431248e-14,7.2247763327482062e-14
57,1.4016565685892601e-13,-7.2164496600635175e-15,6.9944050551384862e-15,-3.7281324694049545e-07,red,-1.0000000000000000e+00,6.6474603599431248e-14,7.3691053259494765e-14
58,1.4438450435250161e-13,-1.1435297153639112e-14,1.5765166949677223e-14,-4.0261556932819076e-07,red,-1.0000000000000000e+00,6.6474603599431248e-14,7.7909900753070360e-14
59,1.4616086119190186e-13,-9.6589403142388619e-15,1.1102230246251565e-14,-3.7281324694049545e-07,red,-1.0000000000000000e+00,6.8250960438831498e-14,7.7909900753070360e-14
60,1.5593082380860324e-13,1.1102230246251565e-16,6.3282712403633923e-15,-2.2494720042232075e-07,red,-1.0000000000000000e+00,7.8020923055532876e-14,7.7909900753070360e-14
61,1.6503465261052952e-13,-8.9928064994637680e-15,1.1768364061026659e-14,-6.1034427289996529e-08,red,-1.0000000000000000e+00,7.8020923055532876e-14,8.7013729554996644e-14
62,1.6614487563515468e-13,-7.8825834748386114e-15,1.0658141036401503e-14,-1.3554023325923481e-07,red,-1.0000000000000000e+00,7.9131146080158032e-14,8.7013729554996644e-14
63,1.6836532168440499e-13,-1.0103029524088925e-14,1.2989609388114332e-14,-1.6330943708453560e-08,red,-1.0000000000000000e+00,7.9131146080158032e-14,8.9234175604246957e-14
64,1.7058576773365530e-13,-7.8825834748386114e-15,1.1657341758564144e-14,-6.1034427289996529e-08,red,-1.0000000000000000e+00,8.1351592129408345e-14,8.9234175604246957e-14
65,1.7569279364693102e-13,-1.2989609388114332e-14,1.4432899320127035e-14,-9.7141764854313806e-08,red,-1.0000000000000000e+00,8.1351592129408345e-14,9.4341201517522677e-14
66,1.7646994976416863e-13,-1.3766765505351941e-14,6.9944050551384862e-15,2.8372539873089409e-08,red,-1.0000000000000000e+00,8.1351592129408345e-14,9.5118357634760287e-14
67,1.7758017278879379e-13,-1.4876988529977098e-14,1.6209256159527285e-14,2.8372539873089409e-08,red,-1.0000000000000000e+00,8.1351592129408345e-14,9.6228580659385443e-14
68,1.8424151093654473e-13,-8.2156503822261584e-15,1.2101430968414206e-14,-3.2924276638368610e-09,red,-1.0000000000000000e+00,8.8012930277159285e-14,9.6228580659385443e-14
69,1.8901546994243290e-13,-1.2989609388114332e-14,1.1546319456101628e-14,-1.8024371684077778e-07,red,-1.0000000000000000e+00,8.8012930277159285e-14,1.0100253966527362e-13
70,1.9512169657787126e-13,-6.8833827526759706e-15,9.9920072216264089e-15,-7.7798233633075142e-08,red,-1.0000000000000000e+00,9.4119156912597646e-14,1.0100253966527362e-13
71,1.9723112032465906e-13,-4.7739590058881731e-15,1.3655743202889425e-14,-1.0014997542384663e-07,red,-1.0000000000000000e+00,9.6228580659385443e-14,1.0100253966527362e-13
72,2.0178303472562220e-13,-9.3258734068513149e-15,1.5321077739827160e-14,-1.9929865402446012e-07,red,-1.0000000000000000e+00,9.6228580659385443e-14,1.0555445406623676e-13
73,2.0344836926255994e-13,-1.0991207943789050e-14,1.0991207943789050e-14,-1.9929865402446012e-07,red,-1.0000000000000000e+00,9.6228580659385443e-14,1.0721978860317449e-13
74,2.0644597142904786e-13,-7.9936057773011271e-15,9.8809849191638932e-15,-2.0674923462138395e-07,red,-1.0000000000000000e+00,9.9226182825873366e-14,1.0721978860317449e-13
75,2.0700108294136044e-13,-7.4384942649885488e-15,9.4368957093138306e-15,-2.0674923462138395e-07,red,-1.0000000000000000e+00,9.9781294338185944e-14,1.0721978860317449e-13
76,2.1077584122508597e-13,-1.1213252548714081e-14,1.4543921622589551e-14,-2.0674923462138395e-07,red,-1.0000000000000000e+00,9.9781294338185944e-14,1.1099454688690003e-13
77,2.1554980023097414e-13,-1.5987211554602254e-14,1.3877787807814457e-14,-9.2699394826922799e-08,red,-1.0000000000000000e+00,9.9781294338185944e-14,1.1576850589278820e-13
78,2.2165602686641250e-13,-9.8809849191638932e-15,1.1879386363489175e-14,-3.2595852417216520e-07,red,-1.0000000000000000e+00,1.0588752097362431e-13,1.1576850589278820e-13
79,2.3153701178557640e-13,-1.9761969838327786e-14,1.0436096431476471e-14,-5.9417942566142301e-07,red,-1.0000000000000000e+00,1.0588752097362431e-13,1.2564949081195209e-13
80,2.3431256934713929e-13,-1.6986412276764895e-14,1.5987211554602254e-14,-3.8556316894755582e-07,red,-1.0000000000000000e+00,1.0866307853518720e-13,1.2564949081195209e-13
81,2.3653301539638960e-13,-1.9206858326015208e-14,1.1102230246251565e-14,-6.2398174804911832e-07,red,-1.0000000000000000e+00,1.0866307853518720e-13,1.2786993686120240e-13
82,2.4608093340816595e-13,-9.6589403142388619e-15,1.2656542480726785e-14,-4.5448103946910123e-07,red,-1.0000000000000000e+00,1.1821099654696354e-13,1.2786993686120240e-13
83,2.4907853557465387e-13,-1.2656542480726785e-14,1.1879386363489175e-14,-3.9487639469371061e-07,red,-1.0000000000000000e+00,1.1821099654696354e-13,1.3086753902769033e-13
84,2.5629498523471739e-13,-1.9872992140790302e-14,1.8207657603852567e-14,-3.9487639469371061e-07,red,-1.0000000000000000e+00,1.1821099654696354e-13,1.3808398868775384e-13
85,2.6184610035784317e-13,-2.5424107263916085e-14,1.0769163338864018e-14,-4.5448103946910123e-07,red,-1.0000000000000000e+00,1.1821099654696354e-13,1.4363510381087963e-13
86,2.8160807019617096e-13,-5.6621374255882984e-15,1.0880185641326534e-14,-5.5133858722911100e-07,red,-1.0000000000000000e+00,1.3797296638529133e-13,1.4363510381087963e-13
87,2.9370950116458516e-13,-1.7763568394002505e-14,1.4765966227514582e-14,-7.8230658573374967e-07,red,-1.0000000000000000e+00,1.3797296638529133e-13,1.5573653477929383e-13
88,3.0592195443546188e-13,-5.5511151231257827e-15,8.5487172896137054e-15,-4.0404535184279666e-07,red,-1.0000000000000000e+00,1.5018541965616805e-13,1.5573653477929383e-13
89,3.0636604364531195e-13,-5.1070259132757201e-15,1.4543921622589551e-14,-4.0404535184279666e-07,red,-1.0000000000000000e+00,1.5062950886601811e-13,1.5573653477929383e-13
90,3.1280533718813786e-13,-1.1546319456101628e-14,1.9539925233402755e-14,-4.3384767423049198e-07,red,-1.0000000000000000e+00,1.5062950886601811e-13,1.6217582832211974e-13
91,3.2035485375558892e-13,-1.9095836023552692e-14,1.5987211554602254e-14,-4.3384767423049198e-07,red,-1.0000000000000000e+00,1.5062950886601811e-13,1.6972534488957081e-13
92,3.2102098757036401e-13,-1.8429702208777599e-14,2.0872192862952943e-14,-4.3384767423049198e-07,red,-1.0000000000000000e+00,1.5129564268079321e-13,1.6972534488957081e-13
93,3.3056890558214036e-13,-8.8817841970012523e-15,2.8643754035329039e-14,-2.1964348206893192e-07,red,-1.0000000000000000e+00,1.6084356069256955e-13,1.6972534488957081e-13
94,3.4944269700076802e-13,-2.7755575615628914e-14,1.5876189252139739e-14,-1.3023651490584598e-07,red,-1.0000000000000000e+00,1.6084356069256955e-13,1.8859913630819847e-13
95,3.5699221356821909e-13,-2.0206059048177849e-14,1.8873791418627661e-14,-2.9414928803817020e-07,red,-1.0000000000000000e+00,1.6839307726002062e-13,1.8859913630819847e-13
96,3.5810243659284424e-13,-1.9095836023552692e-14,1.4654943925052066e-14,-2.9414928803817020e-07,red,-1.0000000000000000e+00,1.6950330028464577e-13,1.8859913630819847e-13
97,3.6343150711104499e-13,-1.3766765505351941e-14,9.4368957093138306e-15,-7.0631870130455354e-08,red,-1.0000000000000000e+00,1.7483237080284653e-13,1.8859913630819847e-13
98,3.6876057762924574e-13,-8.4376949871511897e-15,1.7874590696465020e-14,8.9592788299341919e-08,red,-1.0000000000000000e+00,1.8016144132104728e-13,1.8859913630819847e-13
99,3.8208325392474762e-13,-2.1760371282653068e-14,1.2878587085651816e-14,7.6088610967417480e-08,red,-1.0000000000000000e+00,1.8016144132104728e-13,2.0192181260370035e-13
100,3.8274938773952272e-13,-2.1094237467877974e-14,1.9984014443252818e-14,7.6088610967417480e-08,red,-1.0000000000000000e+00,1.8082757513582237e-13,2.0192181260370035e-13
101,3.9251935035622409e-13,-1.1324274851176597e-14,1.2767564783189300e-14,6.7241046508570435e-08,red,-1.0000000000000000e+00,1.9059753775252375e-13,2.0192181260370035e-13
102,6.3017489381579916e-03,6.3017489377541480e-03,-8.1004925958827467e-04,2.3627790690738948e-03,red,-1.0000000000000000e+00,6.3017489379560698e-03,2.0192181260370035e-13
103,1.3986291178927857e-02,1.3986291178524013e-02,-1.7988210555636153e-03,5.2439553257954685e-03,red,-1.0000000000000000e+00,1.3986291178725935e-02,2.0192181260370035e-13
104,2.4240778820182995e-02,2.4240778819779152e-02,-2.3908230231054484e-03,9.0890507712515500e-03,red,-1.0000000000000000e+00,2.4240778819981074e-02,2.0192181260370035e-13
105,4.1360919667562335e-02,4.1360919667158491e-02,-1.9479701702616037e-03,1.5510609150908294e-02,red,-1.0000000000000000e+00,4.1360919667360413e-02,2.0192181260370035e-13
106,5.8484801337445658e-02,5.8484801337041814e-02,-1.5054430121297369e-03,2.1934639378343945e-02,red,-1.0000000000000000e+00,5.8484801337243736e-02,2.0192181260370035e-13
107,7.5608978302757313e-02,7.5608978302353469e-02,-1.0635912473418996e-03,2.8361406678527601e-02,red,-1.0000000000000000e+00,7.5608978302555391e-02,2.0192181260370035e-13
108,9.2733377544559958e-02,9.2733377544156115e-02,-6.2241324842060575e-04,3.4790515116185361e-02,red,-1.0000000000000000e+00,9.2733377544358037e-02,2.0192181260370035e-13
109,1.0985793053356024e-01,1.0985793053315640e-01,-1.8190710833609902e-04,4.1220528676547019e-02,red,-1.0000000000000000e+00,1.0985793053335832e-01,2.0192181260370035e-13
110,1.2934985300892826e-01,1.2934985300852442e-01,1.3377287203475419e-03,4.8541789152750425e-02,red,-1.0000000000000000e+00,1.2934985300872634e-01,2.0192181260370035e-13
111,1.5318574940100399e-01,1.5318574940060015e-01,4.8348305466934249e-03,5.7499094697220698e-02,red,-1.0000000000000000e+00,1.5318574940080207e-01,2.0192181260370035e-13
112,1.7808764166101837e-01,1.7808764166061453e-01,8.6581627481572276e-03,6.6859516445731515e-02,red,-1.0000000000000000e+00,1.7808764166081645e-01,2.0192181260370035e-13
113,2.0356819254704978e-01,2.0356819254664593e-01,1.2659089601139373e-02,7.6442008366484515e-02,red,-1.0000000000000000e+00,2.0356819254684785e-01,2.0192181260370035e-13
114,2.2904812265341618e-01,2.2904812265301233e-01,1.6659675689282727e-02,8.6028720982994855e-02,red,-1.0000000000000000e+00,2.2904812265321425e-01,2.0192181260370035e-13
115,2.5452738906696565e-01,2.5452738906656180e-01,2.0659884241499560e-02,9.5618843406441556e-02,red,-1.0000000000000000e+00,2.5452738906676375e-01,2.0192181260370035e-13
116,2.8000591838017658e-01,2.8000591837977273e-01,2.4659703363297369e-02,1.0521315201481229e-01,red,-1.0000000000000000e+00,2.8000591837997468e-01,2.0192181260370035e-13
117,3.0548363945408624e-01,3.0548363945368240e-01,2.8659121573900270e-02,1.1481101767270729e-01,red,-1.0000000000000000e+00,3.0548363945388435e-01,2.0192181260370035e-13
118,3.3096048350757606e-01,3.3096048350717222e-01,3.2658127801815429e-02,1.2441310899731661e-01,red,-1.0000000000000000e+00,3.3096048350737417e-01,2.0192181260370035e-13
119,3.5643638406042938e-01,3.5643638406002554e-01,3.6656711375281592e-02,1.3401805827123781e-01,red,-1.0000000000000000e+00,3.5643638406022748e-01,2.0192181260370035e-13
120,3.8455040712729621e-01,3.8455040712689237e-01,3.9662695857990427e-02,1.4462278717832078e-01,red,-1.0000000000000000e+00,3.8455040712709432e-01,2.0192181260370035e-13
121,4.3042666443737215e-01,4.3042666443696831e-01,4.3861667117069070e-02,1.6193708118595396e-01,red,-1.0000000000000000e+00,4.3042666443717026e-01,2.0192181260370035e-13
122,4.7632808614458949e-01,4.7632808614418565e-01,4.8065228705904905e-02,1.7927393103769873e-01,red,-1.0000000000000000e+00,4.7632808614438760e-01,2.0192181260370035e-13
123,5.2223982234062238e-01,5.2223982234021848e-01,5.2271430335031788e-02,1.9662784751210438e-01,red,-1.0000000000000000e+00,5.2223982234042043e-01,2.0194956817931597e-13
124,5.7946887073507569e-01,5.7946887073467179e-01,6.2492149950516440e-02,2.1827755292235906e-01,red,-1.0000000000000000e+00,5.7946887073487374e-01,2.0194956817931597e-13
125,6.4548912134436609e-01,6.4548912134396219e-01,7.7333516468909513e-02,2.4327619395671718e-01,red,-1.0000000000000000e+00,6.4548912134416414e-01,2.0194956817931597e-13
126,7.1155283627504851e-01,7.1155283627464461e-01,9.2192987179699593e-02,2.6831757027957792e-01,red,-1.0000000000000000e+00,7.1155283627484656e-01,2.0194956817931597e-13
127,7.7764534472598235e-01,7.7764534472557845e-01,1.0706416674248431e-01,2.9339506105173996e-01,red,-1.0000000000000000e+00,7.7764534472578040e-01,2.0194956817931597e-13
128,8.4376558037724902e-01,8.4376558037684513e-01,1.2194666666011256e-01,3.1850924494438004e-01,red,-1.0000000000000000e+00,8.4376558037704708e-01,2.0194956817931597e-13
129,9.0991253838004660e-01,9.0991253837964270e-01,1.3684012032100057e-01,3.4365678103171149e-01,red,-1.0000000000000000e+00,9.0991253837984465e-01,2.0194956817931597e-13
130,9.7608524711701672e-01,9.7608524711661282e-01,1.5174417234090254e-01,3.6883994654567687e-01,red,-1.0000000000000000e+00,9.7608524711681477e-01,2.0194956817931597e-13
131,1.0422827671934274e+00,1.0422827671930235e+00,1.6665847825105362e-01,3.9405685322094541e-01,red,-1.0000000000000000e+00,1.0422827671932255e+00,2.0194956817931597e-13
132,1.1322182276073300e+00,1.1322182276069261e+00,1.9789037850629554e-01,4.2835587526349173e-01,red,-1.0000000000000000e+00,1.1322182276071282e+00,2.0194956817931597e-13
133,1.2375960206995922e+00,1.2375960206991883e+00,2.3971773615480496e-01,4.6859996940628434e-01,red,-1.0000000000000000e+00,1.2375960206993901e+00,2.0194956817931597e-13
134,1.3467454729514308e+00,1.3467454729510269e+00,2.8010574881524763e-01,5.1034787744180221e-01,red,-1.0000000000000000e+00,1.3467454729512287e+00,2.0194956817931597e-13
135,1.4588192619537408e+00,1.4588192619533369e+00,3.1935865562489951e-01,5.5327896666238985e-01,red,-1.0000000000000000e+00,1.4588192619535389e+00,2.0194956817931597e-13
136,1.5710097768694891e+00,1.5710097768690852e+00,3.5866795833849274e-01,5.9632107541142432e-01,red,-1.0000000000000000e+00,1.5710097768692872e+00,2.0194956817931597e-13
137,1.6833117601477672e+00,1.6833117601473633e+00,3.9803232934948274e-01,6.3946924879434164e-01,red,-1.0000000000000000e+00,1.6833117601475651e+00,2.0194956817931597e-13
138,1.7957213168002615e+00,1.7957213167998576e+00,4.3744988356065972e-01,6.8272213577449747e-01,red,-1.0000000000000000e+00,1.7957213168000594e+00,2.0194956817931597e-13
139,1.9082346930232807e+00,1.9082346930228768e+00,4.7691880255835117e-01,7.2607765162467786e-01,red,-1.0000000000000000e+00,1.9082346930230787e+00,2.0194956817931597e-13
140,2.0208482712393225e+00,2.0208482712389184e+00,5.1643733310659634e-01,7.6953272253985006e-01,red,-1.0000000000000000e+00,2.0208482712391205e+00,2.0206059048177849e-13
141,2.1335585657629066e+00,2.1335585657625025e+00,5.5600378519143379e-01,8.1308488316705052e-01,red,-1.0000000000000000e+00,2.1335585657627045e+00,2.0206059048177849e-13
142,2.2503918964886687e+00,2.2503918964882645e+00,5.9872533270044592e-01,8.5829272985387206e-01,red,-1.0000000000000000e+00,2.2503918964884666e+00,2.0206059048177849e-13
143,2.3921759491105221e+00,2.3921759491101180e+00,6.5461509041904709e-01,9.1323710030758320e-01,red,-1.0000000000000000e+00,2.3921759491103201e+00,2.0206059048177849e-13
144,2.5393494890534463e+00,2.5393494890530421e+00,7.0765908575762504e-01,9.7036526060452388e-01,red,-1.0000000000000000e+00,2.5393494890532442e+00,2.0206059048177849e-13
145,2.6867105882753020e+00,2.6867105882748978e+00,7.6078795943794553e-01,1.0276597842284332e+00,red,-1.0000000000000000e+00,2.6867105882750999e+00,2.0206059048177849e-13
146,2.8342474322666833e+00,2.8342474322662792e+00,8.1399949693603224e-01,1.0851134061695689e+00,red,-1.0000000000000000e+00,2.8342474322664812e+00,2.0206059048177849e-13
147,2.9819542854169905e+00,2.9819542854165864e+00,8.6729100006127846e-01,1.1427232720204188e+00,red,-1.0000000000000000e+00,2.9819542854167884e+00,2.0206059048177849e-13
148,3.1298256353648828e+00,3.1298256353644787e+00,9.2065988055047099e-01,1.2004841757795361e+00,red,-1.0000000000000000e+00,3.1298256353646807e+00,2.0206059048177849e-13
149,3.2779434728674666e+00,3.2779434728670624e+00,9.7292003723795539e-01,1.2584258624219160e+00,red,-1.0000000000000000e+00,3.2779434728672645e+00,2.0206059048177849e-13
150,3.4318092731476662e+00,3.4318092731472620e+00,1.0237455475344479e+00,1.3187035173684762e+00,red,-1.0000000000000000e+00,3.4318092731474641e+00,2.0206059048177849e-13
151,3.5993158093352493e+00,3.5993158093348452e+00,1.0809469467977308e+00,1.3844230787478864e+00,red,-1.0000000000000000e+00,3.5993158093350472e+00,2.0206059048177849e-13
152,3.7669967818592309e+00,3.7669967818588268e+00,1.1382349111156982e+00,1.4503101905563085e+00,red,-1.0000000000000000e+00,3.7669967818590289e+00,2.0206059048177849e-13
