epoch,loss,energy_loss,stress_global_loss,stress_component_loss,tangent0_loss,training_energy_relative_l2,training_stress_relative_l2,tangent0_relative_error,learning_rate
1,4.759613860926487,0.45374336954129335,0.37750130587458025,0.6467045272803384,0.8174358729700133,0.6538440441256869,0.59335720900144,0.8982670395102975,0.002
2,4.5654458763094095,0.40062561100631905,0.3269160306371532,0.6456586716348279,0.7956246397036297,nan,nan,nan,0.002
3,4.334151291234535,0.33888731465135746,0.2718360250105846,0.6601604205582972,0.7684077023401137,nan,nan,nan,0.002
4,4.05921958725297,0.2674675650547924,0.2156003546786782,0.7035245533831458,0.7339530630577354,nan,nan,nan,0.002
5,3.741903335351849,0.18927785405158376,0.16671727803545214,0.8010445334254193,0.6904310904365732,nan,nan,nan,0.002
6,3.3995287715670517,0.11224035299407273,0.14275478278057394,0.9915854518341166,0.6367635518680662,nan,nan,nan,0.002
7,3.075040783686876,0.05222817803560106,0.1690079060395663,1.3133488609370052,0.5744169123848335,nan,nan,nan,0.002
8,2.826765114182527,0.02686953071460588,0.25794510445634034,1.748449246546403,0.5102709629523386,nan,nan,nan,0.002
9,2.676484877440118,0.034773485305621174,0.3734879949795993,2.1433832669133728,0.4560788234023732,nan,nan,nan,0.002
10,2.5833556393185066,0.05211426636507629,0.45395330727603894,2.3474785828539555,0.4191056117810334,0.24439473865708433,0.692343222947401,0.6364616145214939,0.002
11,2.5094377382940505,0.06472684370389131,0.4919527964126699,2.396225357969641,0.3950824986947699,nan,nan,nan,0.002
12,2.4425296017254756,0.07307831171866642,0.508535170274594,2.3776895725603717,0.37729870576674973,nan,nan,nan,0.002
13,2.379227294558415,0.07864037604092246,0.5141283986206785,2.3277144697565673,0.3627965303022274,nan,nan,nan,0.002
14,2.318302358937348,0.08348695320045277,0.5168273226434335,2.274324907472359,0.34944170334272406,nan,nan,nan,0.002
15,2.258783092086004,0.08773046718649108,0.5173521350033216,2.215370554690878,0.33688123068229275,nan,nan,nan,0.002
16,2.2004160902270766,0.09214354311264211,0.5181525340612654,2.1570260934662846,0.32447405062851886,nan,nan,nan,0.002
17,2.1420336770080564,0.0954579349825872,0.5152983250265305,2.0907683279743883,0.31293753884856884,nan,nan,nan,0.002
18,2.082779437479613,0.09846038104221672,0.5113534579907266,2.021609120902365,0.301485346362289,nan,nan,nan,0.002
19,2.0227896040434605,0.1017678543535309,0.5079331563192366,1.952566149165764,0.2897414684788859,nan,nan,nan,0.002
20,1.9613747000148944,0.10533266197396902,0.5047647470985874,1.8833516191220463,0.2776287445266454,0.32738321406030507,0.7090959311787872,0.5208587473514968,0.002
21,1.8983620219405315,0.10839235710685721,0.4995600106330465,1.8084886708638919,0.2656693958376056,nan,nan,nan,0.002
22,1.8332295803372647,0.11164925931160993,0.49446147892751635,1.732874813255033,0.2532392165714404,nan,nan,nan,0.002
23,1.7668095634877075,0.11520984892469964,0.4895341835602887,1.6546866957416242,0.24047779562527286,nan,nan,nan,0.002
24,1.6986732937738127,0.1180174089914117,0.4821793912725524,1.5709046036677985,0.22795651733136862,nan,nan,nan,0.002
25,1.629500801840752,0.12135998838054551,0.47570878291094754,1.487488224029656,0.21498160529648994,nan,nan,nan,0.002
26,1.559863331243014,0.12373466842491863,0.46661833127680574,1.4000985877184358,0.2025634930980022,nan,nan,nan,0.002
27,1.49063457280559,0.1268702421003812,0.459067786697329,1.3157581188708625,0.18982022574860255,nan,nan,nan,0.002
28,1.4231407862134176,0.12937796665778686,0.4502043435849278,1.2301318920691355,0.17776815286018563,nan,nan,nan,0.002
29,1.3579682101846158,0.13013205842800948,0.4379397134031354,1.142749501270922,0.16708853176065486,nan,nan,nan,0.002
30,1.2951502912917192,0.13147583538731208,0.4273367383121127,1.0624574107936413,0.15647085199557076,0.36313130233301943,0.6491624016198578,0.389135297473265,0.002
31,1.2366916896371534,0.13230780745125556,0.41634204900081967,0.9850307243185142,0.14686991315860348,nan,nan,nan,0.002
32,1.1816136152548462,0.13235065304059754,0.4044880355271476,0.9120559264597347,0.13821953105026205,nan,nan,nan,0.002
33,1.1308105934926016,0.13196972289008158,0.3927466103030422,0.8448105577049189,0.1304567326622013,nan,nan,nan,0.002
34,1.084011279826816,0.13084473823741735,0.38053268306123883,0.781924198460696,0.12368590338225119,nan,nan,nan,0.002
35,1.0412182916817747,0.13012589906296995,0.3699053817945657,0.7259625985766822,0.11734621509925576,nan,nan,nan,0.002
36,1.001622526669462,0.12897472722797254,0.3591804071719559,0.6746112517447391,0.11172170935986481,nan,nan,nan,0.002
37,0.965634775067347,0.12804019778698683,0.3496626885949522,0.6293437111233788,0.1065491915821706,nan,nan,nan,0.002
38,0.9326677097303432,0.1266025337397276,0.33995053788718793,0.5876978065333077,0.10208510498246647,nan,nan,nan,0.002
39,0.9024949898462402,0.12446756312821769,0.3297395750804488,0.5492217440774555,0.09837029974648993,nan,nan,nan,0.002
40,0.8747251905438921,0.12301149747607107,0.3212988439176055,0.5157883336930205,0.09469377465336805,0.34953631917432515,0.5629607922256931,0.30490433544662915,0.002
