epoch,loss,energy_loss,stress_global_loss,stress_component_loss,tangent0_loss,training_energy_relative_l2,training_stress_relative_l2,tangent0_relative_error,learning_rate
1,0.6017253002480302,0.16708086535912223,0.27546206447028804,0.8220734249666015,0.7255355776477089,0.22931876170930096,0.2963914292113048,0.7407148625702952,0.002
2,0.21603646922799194,0.024740542149672577,0.07100503586625131,0.5113365028826593,0.4298336032148449,nan,nan,nan,0.002
3,0.13482384753840743,0.009391084855128571,0.040838513361507366,0.2982509706270679,0.2929370967368883,nan,nan,nan,0.002
4,0.08656942593151341,0.0045434173061212595,0.023279007120197818,0.14814865817465114,0.20112399187445587,nan,nan,nan,0.002
5,0.061742127217439206,0.00302468793626272,0.015508322923027772,0.06350203616942109,0.14755919045280225,nan,nan,nan,0.002
6,0.048662156099735475,0.002216563674848697,0.011887697989661416,0.02880451936707517,0.11777897240474136,nan,nan,nan,0.002
7,0.04267109538137382,0.0017356914241150533,0.01046001592340491,0.020116677559429613,0.10360960010764712,nan,nan,nan,0.002
8,0.040296628509620416,0.0014929946438508957,0.009648529146508822,0.018979951205218667,0.0989255094820284,nan,nan,nan,0.002
9,0.0381643141676232,0.0013903198671268515,0.009119176754627804,0.01867257785796843,0.09380476499787645,nan,nan,nan,0.002
10,0.03557624047635952,0.0012822438799438812,0.008402081414722096,0.01858489158718308,0.08780233513224633,0.034485063315151214,0.08892416541735138,0.29056342018792586,0.002
11,0.03232428529792581,0.0011661749231410574,0.007559651450575295,0.01872105006173497,0.08002206715769612,nan,nan,nan,0.002
12,0.028291594422956493,0.0010304074896539375,0.006564223820731798,0.01900711418479636,0.07019201911316546,nan,nan,nan,0.002
13,0.023398956869898013,0.0008654087678792817,0.0054369706178193315,0.020013870320631816,0.05799823517652381,nan,nan,nan,0.002
14,0.01789898485537116,0.0006841818445222628,0.004323583192273761,0.02154701061302861,0.04376894488052642,nan,nan,nan,0.002
15,0.012535590313137553,0.0004894634277708607,0.0033504431427622884,0.023625558148245844,0.029556653141080684,nan,nan,nan,0.002
16,0.008422319810530425,0.0003450046994576145,0.0027741900271180567,0.02478955743310954,0.01807958909588307,nan,nan,nan,0.002
17,0.006691780911164379,0.00031709614511042834,0.0027357474271388826,0.024520285045455194,0.012499736632345724,nan,nan,nan,0.002
18,0.006033093541991409,0.0002593602390151135,0.002579230683843065,0.02486473555974844,0.010950929009295072,nan,nan,nan,0.002
19,0.005561502995395666,0.00022012806983026052,0.0024827400721284375,0.02507629119378134,0.00978559892625853,nan,nan,nan,0.002
20,0.005219721610172401,0.0001922260615867975,0.002423566635303389,0.02512653722152558,0.00890402678279198,0.013421660037680647,0.04892855200284989,0.09246281667280366,0.002
21,0.004971213644230881,0.00016862814703741164,0.0023627532402286785,0.025060398222560825,0.008329507028092951,nan,nan,nan,0.002
22,0.0047914116323228405,0.0001546577665516066,0.0023290010640801724,0.024943773868466686,0.007872943399947077,nan,nan,nan,0.002
23,0.00466067997662559,0.0001457161553403009,0.002291161489760983,0.024890491234756233,0.007582676619644704,nan,nan,nan,0.002
24,0.004559716743242387,0.0001392399500040282,0.002269218907835401,0.024508022128600412,0.007333306226347891,nan,nan,nan,0.002
25,0.004483283885366364,0.00013530133835595949,0.0022420015683351164,0.024397492570814562,0.007177788156999581,nan,nan,nan,0.002
26,0.004423136235408883,0.00013455031611715436,0.0022250431489402706,0.024077846073069627,0.007035451269974874,nan,nan,nan,0.002
27,0.004374262717860079,0.00013404969267061514,0.0021983770608480966,0.024077305690564203,0.006962511189253607,nan,nan,nan,0.002
28,0.004330051451522762,0.00013543299113402525,0.002190066816817166,0.023724553314922465,0.00683984396822827,nan,nan,nan,0.002
29,0.004293499984806677,0.00013640475510317193,0.0021739173181592967,0.023563423050144472,0.006769731919434396,nan,nan,nan,0.002
30,0.004262221442330988,0.00013859440669975156,0.002155392376230106,0.02338855635029189,0.006722475672486812,0.011767771171690011,0.04635893422430473,0.08172542304550086,0.002
31,0.004228747762094181,0.0001394316705470133,0.0021413990429407716,0.02322966826428538,0.006655727110992837,nan,nan,nan,0.002
32,0.004197679153164575,0.00013998567026418034,0.002129804154935811,0.023009394689870837,0.006589614375190154,nan,nan,nan,0.002
33,0.004169041308948822,0.00014079407609884112,0.002114322455625648,0.02291974032408854,0.00654400901286309,nan,nan,nan,0.002
34,0.0041408360903576495,0.00014106208773892036,0.0020957243826851516,0.022840966596174687,0.006511404502140666,nan,nan,nan,0.002
35,0.004113925618969471,0.00014189773874174604,0.00208264648295229,0.022704927525180055,0.006463485352783488,nan,nan,nan,0.002
36,0.004088470786782746,0.00014258102895866418,0.002070161430422978,0.022559954493358965,0.006418772291788789,nan,nan,nan,0.002
37,0.004060231714896514,0.00014189946798762924,0.002052624192841493,0.02248431340784181,0.006384576226210205,nan,nan,nan,0.002
38,0.004033686548851846,0.0001420196614804498,0.0020412040431421184,0.02229157783576217,0.006333899085824786,nan,nan,nan,0.002
39,0.004006411611270734,0.00014097634284826975,0.0020175221997970234,0.022231865573870198,0.006324182628741122,nan,nan,nan,0.002
40,0.003981075143869436,0.00014144257407310384,0.0020163374638250916,0.02205718815924316,0.00624266668965609,0.011805408866725943,0.0448063111191254,0.07898284116274219,0.002
41,0.003956912946325634,0.0001413002470620604,0.0019992395550197306,0.021992460304866433,0.006219427435718545,nan,nan,nan,0.002
42,0.003929653134666872,0.00014047012863419435,0.0019715312839435487,0.021923501775291697,0.006222720890370321,nan,nan,nan,0.002
43,0.0039035865972034682,0.0001392663278194969,0.0019660223557372886,0.021841372930705608,0.006156803761278353,nan,nan,nan,0.002
44,0.0038782649430989073,0.0001385674133946856,0.0019496675068308624,0.02178330235864221,0.006128428725204997,nan,nan,nan,0.002
45,0.003851178281840035,0.0001377506111483013,0.0019353958321324748,0.02161282976719539,0.0060874818415372145,nan,nan,nan,0.002
46,0.0038260777406655183,0.00013618805238447217,0.001916338118565109,0.021598275836301143,0.006070724626835005,nan,nan,nan,0.002
47,0.003801646750559027,0.0001367855218362425,0.0019077021561091508,0.021418763208983903,0.006016780017521061,nan,nan,nan,0.002
48,0.0037751180253885806,0.00013466444075858859,0.0018886427566602243,0.0213325697334685,0.005996477940784249,nan,nan,nan,0.002
49,0.0037507358591963654,0.00013351416630182208,0.0018707859339459983,0.02134495103981746,0.00597721905718061,nan,nan,nan,0.002
50,0.0037268157565243693,0.0001338197872978817,0.0018629624788844346,0.021234811493338026,0.005922901386321038,0.011430326843263275,0.04305049810230174,0.07690219275591502,0.002
