epoch,loss,energy_loss,stress_global_loss,stress_component_loss,tangent0_loss,training_energy_relative_l2,training_stress_relative_l2,tangent0_relative_error,learning_rate
1,2.8996404388895702,0.11797684407282401,0.4575638044906768,1.5521803086704125,0.47307833715031145,0.3683402620135513,0.6584364390623031,0.4191914124125171,0.002
2,0.9908438846524464,0.10483937289233387,0.28434967516870385,0.893570866600128,0.12766972342074517,nan,nan,nan,0.002
3,0.494201679036855,0.09458631471611247,0.17744893697449407,0.21528021922858961,0.05105432749937755,nan,nan,nan,0.002
4,0.3371458490692601,0.07661785431421465,0.1306253319001808,0.11067046068862561,0.03134378237296797,nan,nan,nan,0.002
5,0.2977398138767412,0.07139474465477336,0.11614669986837836,0.09419484112000823,0.027037305996552026,nan,nan,nan,0.002
6,0.2746717974167134,0.06785898280707024,0.10773943714421202,0.0864841558143078,0.02456480428958114,nan,nan,nan,0.002
7,0.23863406279594274,0.06198640814720352,0.09763233986499444,0.07809578563808023,0.020142111527053207,nan,nan,nan,0.002
8,0.17778429389526812,0.050705450642900475,0.08007486613055238,0.06428208577315504,0.012950176969366092,nan,nan,nan,0.002
9,0.0993635862026423,0.030510865487695164,0.050534492934480785,0.042950826570222665,0.005799406140231934,nan,nan,nan,0.002
10,0.046009638971609,0.013025228197665332,0.02550668767472944,0.025410864245746574,0.0024073105936794205,0.08842500265909493,0.13523324509277132,0.04066532745118114,0.002
11,0.02537888566110239,0.005432540149886099,0.015094948925586372,0.018521386687559153,0.0013505571276180117,nan,nan,nan,0.002
12,0.01819742987673107,0.0028010770188410835,0.011774344625520327,0.017110370170396103,0.0009204770377928081,nan,nan,nan,0.002
13,0.015452322763330585,0.0017681280447509639,0.010700623796701227,0.017830538535603,0.0007204831475082461,nan,nan,nan,0.002
14,0.01423847971285488,0.0012811670996108176,0.010391419847990755,0.01897405297432573,0.0006028602500234184,nan,nan,nan,0.002
15,0.013699806104354492,0.0010314408310159932,0.010348033614997495,0.020039050191173732,0.0005362671898393205,nan,nan,nan,0.002
16,0.013427558052557787,0.0008915321383517735,0.010360389153697927,0.020847026561096934,0.0004975346017862413,nan,nan,nan,0.002
17,0.013279344371477408,0.0008114986498184172,0.010402460323645514,0.02152435958191521,0.0004698819850899845,nan,nan,nan,0.002
18,0.013184905783532815,0.0007601517621585209,0.010410682204725954,0.021927674437425708,0.0004560249866807642,nan,nan,nan,0.002
19,0.013113023054058238,0.0007293111026966828,0.010413929162447053,0.022234283467597277,0.00044500833497166937,nan,nan,nan,0.002
20,0.01306018466289468,0.0007100851163505396,0.010423400222949032,0.02249596258323682,0.00043504582286355925,0.02619967451841518,0.10166535443591303,0.021184701718083315,0.002
21,0.013003839156163906,0.0006947479901513834,0.010394743179100361,0.022620428200376633,0.00043150195669302985,nan,nan,nan,0.002
22,0.012953058839780311,0.0006853299358528706,0.010366852475591657,0.022722490312842198,0.0004281483811768583,nan,nan,nan,0.002
23,0.012905191473679497,0.0006781655415756148,0.010333675881010997,0.022782282752498235,0.00042614159812886973,nan,nan,nan,0.002
24,0.012859854739481954,0.000675580597616913,0.010311510015991886,0.02278936891546921,0.000421843467007814,nan,nan,nan,0.002
25,0.012816426617785846,0.0006715034950813992,0.010272441522363108,0.02279649260978176,0.0004215015647239651,nan,nan,nan,0.002
26,0.012769627010063421,0.0006684832201674437,0.010240412957188482,0.022769393500370886,0.00041893999195322074,nan,nan,nan,0.002
27,0.012722591880539483,0.0006631938642623523,0.01020194859308226,0.022784696202174423,0.00041791345513733945,nan,nan,nan,0.002
28,0.01267490582672341,0.0006597545679916538,0.010167286370918722,0.022727633841052416,0.0004157557973220216,nan,nan,nan,0.002
29,0.012629112523536358,0.0006576981751760392,0.010125809279930701,0.02266846771975579,0.00041515988594824604,nan,nan,nan,0.002
30,0.012583909202164454,0.0006578022841059859,0.01009472676359221,0.02261483406918064,0.0004123221907806704,0.025165729237438,0.10083913799046622,0.01994767679032422,0.002
31,0.01253300760947326,0.0006487295111824902,0.010033892845236423,0.022546793110236867,0.00041548811639364374,nan,nan,nan,0.002
32,0.012493230402635147,0.0006541320788647129,0.010014422562431378,0.022486685987449438,0.0004107243977883417,nan,nan,nan,0.002
33,0.012425215948008418,0.0006476194940948003,0.009962172048610381,0.02242125703991087,0.00040841824564728313,nan,nan,nan,0.002
34,0.012378466798101442,0.0006453164693524994,0.00990762230258616,0.022330570720137968,0.0004102777580872312,nan,nan,nan,0.002
35,0.01231682522044497,0.0006434440037399209,0.009871386694794905,0.022272958676181828,0.0004054399846438228,nan,nan,nan,0.002
36,0.012262130139357782,0.0006385602637543589,0.00981618989730946,0.022175884811317312,0.0004061752141215968,nan,nan,nan,0.002
37,0.012205461635959071,0.0006371358192055317,0.00977086716507588,0.02210717060751211,0.000404091237679919,nan,nan,nan,0.002
38,0.012145125848596724,0.0006350423851183097,0.009719464540025678,0.022008059659516178,0.00040257675164882996,nan,nan,nan,0.002
39,0.012087818101707948,0.000631880029363627,0.009659423099704953,0.02190518374724165,0.00040353459658332814,nan,nan,nan,0.002
40,0.012034751966149346,0.0006333881723502519,0.00962305944098931,0.021841892844550292,0.000399998042626474,0.02568304838940536,0.09773681931215733,0.020105915840897663,0.002
41,0.011964513950595225,0.0006282640744447572,0.009562310735832925,0.021747202954885726,0.00039876631327464234,nan,nan,nan,0.002
42,0.011898777360628039,0.000626748010067538,0.0095033773563635,0.021623894880183483,0.00039760275954412735,nan,nan,nan,0.002
43,0.011841617468140208,0.0006239380901562189,0.009453027227382798,0.021564243743421654,0.00039660609643117303,nan,nan,nan,0.002
44,0.01176511202691608,0.0006229482137092804,0.00937934228520195,0.021428983219773372,0.00039617068056061995,nan,nan,nan,0.002
45,0.011688164498159258,0.000619508913391679,0.009329298624860408,0.02133114190515273,0.0003912370159188514,nan,nan,nan,0.002
46,0.011618635678702017,0.0006179138777710798,0.00926813636738124,0.021239700936082812,0.00038977105815391513,nan,nan,nan,0.002
47,0.011540790956211458,0.0006134063565630376,0.009202639967355887,0.021115069923068306,0.00038788737141791927,nan,nan,nan,0.002
48,0.011473976858685555,0.0006132852122973355,0.009146008591981189,0.02100236666637886,0.00038586657574222013,nan,nan,nan,0.002
49,0.011390343674957308,0.0006070953009755883,0.009064070833937022,0.02090735772316412,0.00038633217907723137,nan,nan,nan,0.002
50,0.011319465581128485,0.0006078676195490783,0.009016782571536056,0.020837102808087773,0.00038151381137710585,0.024653360334630132,0.09488033612912852,0.019329349384812636,0.002
51,0.011230139145109475,0.0006029979387192954,0.008934477913948575,0.020709252800137624,0.0003807425141986721,nan,nan,nan,0.002
52,0.011154181260182531,0.0006018519789268394,0.008876464684253673,0.020594478451990274,0.0003773025579252827,nan,nan,nan,0.002
53,0.01105687507117243,0.0005980641763415174,0.008799343091695696,0.020439603532731554,0.00037375805297094986,nan,nan,nan,0.002
54,0.010977695229814885,0.0005972801819037407,0.008729211018042284,0.02033717914374001,0.00037205041870703347,nan,nan,nan,0.002
55,0.010889670127473968,0.0005907400002339661,0.008655914493497183,0.020224856740494058,0.00036995492676494135,nan,nan,nan,0.002
56,0.010791075331598017,0.0005928593680013766,0.008561219554294211,0.02004843874365654,0.0003688994376205818,nan,nan,nan,0.002
57,0.010694393449647956,0.000584385186345291,0.008488067926320574,0.019915875929434047,0.00036529503044058903,nan,nan,nan,0.002
58,0.01060644745595417,0.0005892361764271885,0.008416691856306677,0.019817855541180335,0.0003613504169939639,nan,nan,nan,0.002
59,0.010501681325853631,0.0005753860986110686,0.008340128668500825,0.019716222946012846,0.00035751033865112283,nan,nan,nan,0.002
60,0.010407790478670624,0.0005819068415132875,0.008253979107991593,0.019552684705844262,0.00035511438473907937,0.023317819163384462,0.09042702462752968,0.019042582169053617,0.002
61,0.010294401726039012,0.0005730952642094766,0.008165853681408644,0.019415131305890964,0.00035120722457884085,nan,nan,nan,0.002
62,0.010187500074846981,0.000567332724654247,0.008068275079562535,0.019260822547322906,0.00035009174485183724,nan,nan,nan,0.002
63,0.010073339055035794,0.0005667480345059367,0.007996588562834929,0.019110044943160372,0.00034167285395440134,nan,nan,nan,0.002
64,0.00995787848438,0.0005593871080329386,0.007887331852267684,0.01895153004094088,0.0003413890023781808,nan,nan,nan,0.002
65,0.009844315647001766,0.0005594347489958525,0.0078033644792356175,0.018836771337651173,0.00033546371618376814,nan,nan,nan,0.002
66,0.009746696162356492,0.0005524756171510658,0.007719584838740885,0.018695663192647174,0.00033360043449348294,nan,nan,nan,0.002
67,0.009606631667000367,0.0005470116555717027,0.0076195075899970635,0.01849563463403096,0.0003263133001763396,nan,nan,nan,0.002
68,0.009491205448501617,0.0005430111942005347,0.007520296801949889,0.018317720337787807,0.000323590274064276,nan,nan,nan,0.002
69,0.009393856264742843,0.0005424937938900598,0.00743980882264988,0.018225666200942577,0.0003202852952128849,nan,nan,nan,0.002
70,0.009251410124468298,0.0005301521218701085,0.007340748904573951,0.017972616299881557,0.00031321246813575547,0.022777327594697902,0.08487038037041854,0.018054936844844705,0.002
71,0.009123030525492095,0.0005329551715426757,0.007242674955282854,0.01785878695666722,0.0003067869417413007,nan,nan,nan,0.002
72,0.009030868437198854,0.0005205061751193362,0.007133713286551291,0.01767091447743181,0.0003117652273639988,nan,nan,nan,0.002
73,0.008862743015813267,0.0005167193129522822,0.007029699709855253,0.017490000953845772,0.0002994351505078056,nan,nan,nan,0.002
74,0.008740314178282131,0.0005113365264465161,0.006939858390756361,0.017347753681094185,0.0002936174090671069,nan,nan,nan,0.002
75,0.008591264857108363,0.000502206872228088,0.0068324912609998715,0.017116607041592898,0.00028646782583204673,nan,nan,nan,0.002
76,0.008456814762919769,0.000496589817943111,0.006728038321280559,0.016944913263628174,0.00028119861199523777,nan,nan,nan,0.002
77,0.008324462378317304,0.0004896060417844348,0.006627542582898055,0.016793553050648884,0.00027573517365187255,nan,nan,nan,0.002
78,0.008185053425273543,0.00048075308896899574,0.0065347653564085915,0.016684114083121933,0.00026755971220702096,nan,nan,nan,0.002
79,0.008051212916202945,0.00047061259343952704,0.006433614313269874,0.01643340039754367,0.00026234008343947566,nan,nan,nan,0.002
80,0.007913517139804593,0.00046785298865394305,0.0063238007053504795,0.01627798490190206,0.0002571223983658105,0.021830392518435725,0.07887658826066425,0.01620305878512729,0.002
81,0.007783696520160961,0.0004607109081875429,0.006226637825375969,0.016067378703507443,0.0002515193208926174,nan,nan,nan,0.002
82,0.0076561605122612685,0.0004508121485637694,0.006124962058845479,0.0159370622521579,0.00024763411136986786,nan,nan,nan,0.002
83,0.007521450374275159,0.00044384287893875393,0.006017613365178281,0.0157123056537438,0.00024306782755733787,nan,nan,nan,0.002
84,0.007369436094289718,0.00043126871301618944,0.0059251170332056445,0.015521620115317478,0.00023279887952471019,nan,nan,nan,0.002
85,0.007234429816050392,0.00042924744946282964,0.00582228211815406,0.015390558861923642,0.00022662737114909835,nan,nan,nan,0.002
86,0.0071185469496812025,0.0004215046570701933,0.005726777789695851,0.015206102219799723,0.00022355822657794546,nan,nan,nan,0.002
87,0.006962420595757596,0.0004067585942312779,0.005625984715841188,0.015050604057903138,0.0002144085587332154,nan,nan,nan,0.002
