Total batches: 225
Batch info (theta, phi, mode, E1, E2):
Batch 28: theta=25.00, phi=300.00, mode=rotate_phi_delta=-100.5, E1=[0.005000000000000001, 0.0021130913087034978, -0.003659981507706668], E2=[-0.009425041269254388, -0.003983194558046645, -0.001412367030350336]
Batch 29: theta=25.00, phi=325.00, mode=unload_same_dir_alpha=0.260, E1=[0.008191520442889916, 0.0034618861305875403, -0.002424038765061042], E2=[0.002133506039691378, 0.0009016586139076537, -0.0006313481583498582]
Batch 30: theta=25.00, phi=350.00, mode=random_direction_theta2=150.0_phi2=192.9, E1=[0.00984807753012208, 0.004161977407267834, -0.0007338689100003827], E2=[-0.009747354769601759, -0.004869069080199356, -0.0011157558669463938]
Batch 31: theta=50.00, phi=0.00, mode=unload_same_dir_alpha=0.310, E1=[0.01, 0.007660444431189781, 0.0], E2=[0.003104491940392108, 0.002378178799645028, 0.0]
Batch 32: theta=50.00, phi=25.00, mode=extra_load_same_dir_beta=1.406, E1=[0.0090630778703665, 0.006942720440148839, 0.003237443709670646], E2=[0.012743362671740009, 0.009761982161336245, 0.004552087040603577]
Batch 33: theta=50.00, phi=50.00, mode=random_direction_theta2=225.3_phi2=254.2, E1=[0.006427876096865394, 0.004924038765061041, 0.005868240888334652], E2=[-0.002729666535875441, 0.001939079040298835, 0.006833946828369766]
Batch 34: theta=50.00, phi=75.00, mode=unload_same_dir_alpha=0.622, E1=[0.0025881904510252074, 0.0019826689127414613, 0.00739942111693848], E2=[0.0016104869790733944, 0.0012337046010346435, 0.004604248252592782]
Batch 35: theta=50.00, phi=100.00, mode=random_direction_theta2=228.1_phi2=157.8, E1=[-0.001736481776669303, -0.0013302222155948899, 0.007544065067354889], E2=[-0.009258148981852217, 0.006895399653402219, -0.0028151458304177014]
Batch 36: theta=50.00, phi=125.00, mode=unload_same_dir_alpha=0.498, E1=[-0.005735764363510461, -0.004393850417707051, 0.006275068715971331], E2=[-0.002855760966859114, -0.0021876398195385047, 0.003124273447743594]
Batch 37: theta=50.00, phi=150.00, mode=rotate_phi_delta=-144.2, E1=[-0.008660254037844387, -0.006634139481689384, 0.0038302222155948895], E2=[0.009948302327504085, 0.0076208417164521005, 0.000777933426541063]
Batch 38: theta=50.00, phi=175.00, mode=rotate_phi_delta=94.4, E1=[-0.009961946980917456, -0.007631294127377697, 0.0006676517241775074], E2=[-0.0001002878783590579, -7.682497192914832e-05, -0.007660059190831008]
Batch 39: theta=50.00, phi=200.00, mode=unload_same_dir_alpha=0.569, E1=[-0.009396926207859084, -0.0071984631039295425, -0.0026200263022938494], E2=[-0.0053430473259114646, -0.004093011713336193, -0.001489734432157284]
Batch 40: theta=50.00, phi=225.00, mode=random_direction_theta2=254.9_phi2=286.9, E1=[-0.007071067811865477, -0.00541675220419702, -0.005416752204197018], E2=[0.002902376805090171, -0.0028024492886425164, 0.00924007078435876]
Batch 41: theta=50.00, phi=250.00, mode=rotate_phi_delta=-145.9, E1=[-0.0034202014332566856, -0.002620026302293848, -0.0071984631039295425], E2=[-0.0024360851436030454, -0.0018661494872218105, 0.007429663180433437]
