epoch,loss,energy_loss,stress_global_loss,stress_component_loss,training_energy_relative_l2,training_stress_relative_l2,learning_rate
1,0.6402715226242066,0.33718885845459173,0.4210987646287218,0.851478971451884,0.3028285309541064,0.4379887936472631,0.002
2,0.16948508356807615,0.07244770935331374,0.12239407248842218,0.7276708061953572,nan,nan,0.002
3,0.10499906062805742,0.04003624790681317,0.07897549948862884,0.5648113220859039,nan,nan,0.002
4,0.07855425628116706,0.028511735370573856,0.06002162829029408,0.4339919492513417,nan,nan,0.002
5,0.06334092021002957,0.02368638164887635,0.04794477213825995,0.34524471391978717,nan,nan,0.002
6,0.05145613896215445,0.019518723130393517,0.03876896892739866,0.2827768360751355,nan,nan,0.002
7,0.040526141226686845,0.015518852274914573,0.03043888724799237,0.22573707967837975,nan,nan,0.002
8,0.030233558357933198,0.011732971992374717,0.02260712656288963,0.17300208342302234,nan,nan,0.002
9,0.022167235302044022,0.008454196481760188,0.016672007588899893,0.12735653954329385,nan,nan,0.002
10,0.016767465333859397,0.006200663682412451,0.012737033940291305,0.09434450802228521,0.07257185185074459,0.10622438569165811,0.002
11,0.013103947016506225,0.004747024400518835,0.01001838115616898,0.07063263066362038,nan,nan,0.002
12,0.010567528682637647,0.0036318498827195046,0.008206826258869968,0.055658230867273846,nan,nan,0.002
13,0.009147268838432348,0.0030644578225979846,0.007155371253743659,0.04907722077457105,nan,nan,0.002
14,0.00805659835210208,0.0026200117224452844,0.006353590732512647,0.04488190271669792,nan,nan,0.002
15,0.0071242805477708514,0.002269585514694311,0.005649049963219549,0.04176576578344063,nan,nan,0.002
16,0.006429209387887385,0.0019893984428717535,0.005136100400020743,0.03995136450471903,nan,nan,0.002
17,0.00586567995995546,0.0017791995048359803,0.004709200281812072,0.039661060318925516,nan,nan,0.002
18,0.005377512677384916,0.0015980861933407437,0.004338756651713433,0.0402038338342705,nan,nan,0.002
19,0.004918545666461603,0.001441932806212441,0.0039812893424235165,0.04136465204860545,nan,nan,0.002
20,0.004493903915379858,0.00128145798410155,0.003660956225713851,0.04251252784134699,0.035307577841215694,0.05911971414230823,0.002
21,0.004161930439758434,0.0011442930367975201,0.003418139965840047,0.043189074900229066,nan,nan,0.002
22,0.00391904454818686,0.001034834935170465,0.0032464018403260573,0.04386307360621012,nan,nan,0.002
23,0.0037112882480602343,0.0009585420826600717,0.003088235894331187,0.044314034272564605,nan,nan,0.002
24,0.0035252690360535115,0.0008813067251643734,0.0029524196646966688,0.04488053913907549,nan,nan,0.002
25,0.0033644123338228468,0.0008139770541649764,0.0028353272486156106,0.0455319644771897,nan,nan,0.002
26,0.003218781757426434,0.0007534706625950921,0.0027290258267396237,0.04607581788233522,nan,nan,0.002
27,0.0030887553693597367,0.0006961090636959018,0.0026362844779574007,0.04677726113209832,nan,nan,0.002
28,0.0029681511969151496,0.000649712982667356,0.002545837758181368,0.04722695762576717,nan,nan,0.002
29,0.0028574720695539965,0.0006016954176222049,0.0024663700480995624,0.04768690584366961,nan,nan,0.002
30,0.0027577194587212537,0.0005561202000041314,0.002396241328718568,0.048269301157709936,0.023436613354266774,0.04849177236908414,0.002
