epoch,loss,energy_loss,stress_global_loss,stress_component_loss,training_energy_relative_l2,training_stress_relative_l2,learning_rate
1,0.8216720187986348,0.42882993671640013,0.3537231004451974,0.644814576580239,0.6144120468663874,0.5526826801560205,0.002
2,0.7226821212924222,0.3288244913343658,0.26309732309340805,0.6413263674498332,nan,nan,0.002
3,0.6363842827378569,0.24044697435190365,0.1929111138835747,0.6347305531536436,nan,nan,0.002
4,0.565068519907299,0.17982444420810137,0.15119251216646615,0.6081003875596463,nan,nan,0.002
5,0.504211614516498,0.1424918658939841,0.12822116724903948,0.5641761433049916,nan,nan,0.002
6,0.4497825577696586,0.11650720478947013,0.11395929576839238,0.5141032632885625,nan,nan,0.002
7,0.3995477211991536,0.09608924792594463,0.10409212633463803,0.4625499474310252,nan,nan,0.002
8,0.3550672296001135,0.0796452906079769,0.09754762185989928,0.41408634315994414,nan,nan,0.002
9,0.3164573996487053,0.06759072246604456,0.09343480033986419,0.36895576911819056,nan,nan,0.002
10,0.2840446703094897,0.0576278200993254,0.09120609349930277,0.33025300695411103,0.23132738982762557,0.30098066840799187,0.002
11,0.2573904277372526,0.05076264467010741,0.08990407697645757,0.2968127411691117,nan,nan,0.002
12,0.2360103762165439,0.04547426932606883,0.0887989372239086,0.26980380480958643,nan,nan,0.002
13,0.21775222237778002,0.04158522704238022,0.08746282860002282,0.2463228227541923,nan,nan,0.002
14,0.20154609198572865,0.03800050406485079,0.08579070743737817,0.22587541036998957,nan,nan,0.002
15,0.18698144004223818,0.03497222035948282,0.08340748168875908,0.20777981264232095,nan,nan,0.002
16,0.173178906712894,0.03177121131082627,0.08110649278798167,0.19098514905394376,nan,nan,0.002
17,0.15995043078932522,0.0290521098438924,0.07813687145894065,0.17495177596948605,nan,nan,0.002
18,0.14766300366616253,0.026458549887963225,0.07498762601474614,0.16033734943665442,nan,nan,0.002
19,0.13635668727470693,0.024147250763648806,0.07169629332771646,0.14702657171328376,nan,nan,0.002
20,0.12578787096892358,0.02190350963926744,0.06868731242717453,0.13463081592905948,0.14581774216720478,0.2581127125365971,0.002
21,0.1164017007591692,0.020188663379633386,0.06544749915151626,0.12364991516827198,nan,nan,0.002
22,0.1083612099976788,0.018592583572431327,0.06246539072773791,0.11448175987829254,nan,nan,0.002
23,0.10092395705844981,0.017158526792157014,0.059708548581894866,0.10595834252289921,nan,nan,0.002
24,0.09447509482263115,0.01600153549949785,0.05699338253891844,0.09865601978359397,nan,nan,0.002
25,0.08842676749734693,0.01493547439088244,0.05440185253798381,0.09181240116150619,nan,nan,0.002
26,0.083071678346699,0.013981299250813073,0.0519603040316244,0.0858426575732338,nan,nan,0.002
27,0.07828646582616024,0.013223408942364052,0.04945620249558843,0.08058704483102715,nan,nan,0.002
28,0.07375752282463016,0.012286702860269297,0.04751737833697775,0.07560012853463524,nan,nan,0.002
29,0.0698031889385058,0.011712907514446699,0.045245739540950715,0.07131352340735797,nan,nan,0.002
30,0.06615805477792472,0.011079771196283979,0.043264486711793226,0.06740558946340386,0.10370335350100401,0.20575404430856206,0.002
31,0.0627857272286221,0.010490711066408864,0.04147071896087011,0.06377232830638742,nan,nan,0.002
32,0.059748239259788956,0.009979758639615888,0.039718921111093174,0.06055349808485539,nan,nan,0.002
33,0.057010060306346755,0.009528484049738117,0.03806605136919915,0.057682196453534285,nan,nan,0.002
34,0.05447367516595322,0.009112818217682703,0.03659962348164098,0.05498534631674632,nan,nan,0.002
35,0.05212034521852687,0.008745747845195884,0.035231333058256195,0.05246868084424596,nan,nan,0.002
36,0.05020666432538363,0.008372132660580785,0.034016306985950366,0.05055241638603615,nan,nan,0.002
37,0.04829071270523076,0.008095582843316754,0.032846865861917006,0.04851104739292911,nan,nan,0.002
38,0.0466532595073761,0.007816587145984889,0.03180481396043691,0.04683198919435849,nan,nan,0.002
39,0.045120920423333565,0.007597688290544751,0.03078827917165134,0.04524080819138695,nan,nan,0.002
40,0.043746212371841516,0.007341023226380029,0.029969717759823003,0.04382330162885607,0.08527899792717177,0.17163655323776839,0.002
41,0.042496541069738804,0.007136902629660793,0.02913940104408435,0.0425519446077381,nan,nan,0.002
42,0.041412295231628087,0.006986067214892101,0.028345171501059613,0.041462371563965136,nan,nan,0.002
43,0.040370305597818304,0.006757710131245366,0.02777618450695172,0.040394045284731867,nan,nan,0.002
