epoch,loss,energy_loss,stress_global_loss,stress_component_loss,training_energy_relative_l2,training_stress_relative_l2,learning_rate
1,0.829376997126471,0.09129311014037099,0.14727424505029446,1.1053699842578875,0.3429132320438435,0.37830815073045715,0.002
2,0.7159283474365866,0.13603243889469324,0.1453311446807969,0.8871405561796263,nan,nan,0.002
3,0.6637115754467542,0.16075526630010806,0.1502743417723764,0.7794225118943879,nan,nan,0.002
4,0.6302363430056024,0.16915428020282594,0.15112857683713982,0.7190631676627178,nan,nan,0.002
5,0.6025393143743815,0.16805484835724316,0.14810895205560554,0.6791777380349411,nan,nan,0.002
6,0.576291787014589,0.16197256251997766,0.14301005623916163,0.6476247718352263,nan,nan,0.002
7,0.5510775904979477,0.15396892886366936,0.1372041060638329,0.6199636147911094,nan,nan,0.002
8,0.5266595796958862,0.1448989891637394,0.13134274848066388,0.5946234996480356,nan,nan,0.002
9,0.5029410644287395,0.13568348281150994,0.12575369681141715,0.5703584718727108,nan,nan,0.002
10,0.479418154956186,0.12706973408337754,0.12081432873121419,0.5454427888401011,0.35033205038731147,0.34411139055197354,0.002
11,0.45726337407009404,0.11910970065724975,0.11640784099820926,0.5216912681438592,nan,nan,0.002
12,0.435731934672981,0.11117794190890483,0.1124206181960577,0.4986447016362656,nan,nan,0.002
13,0.41486394493042056,0.10388814563743079,0.10896697370808882,0.4756895530280915,nan,nan,0.002
14,0.3951814721092895,0.09728348574225103,0.1059656697991553,0.4536295722263415,nan,nan,0.002
15,0.3764049907684007,0.09121899908259695,0.1034170806760394,0.43217948173553683,nan,nan,0.002
16,0.35877559561319444,0.08557107720903144,0.10122546109502892,0.41188536006779075,nan,nan,0.002
17,0.34214542514909957,0.08003050291064186,0.09960487709506248,0.39271367888293907,nan,nan,0.002
18,0.32683073799716644,0.07513154649985197,0.09827253525713794,0.37476899297271443,nan,nan,0.002
19,0.31267760117792326,0.07097183695095687,0.09721874730880055,0.35772207015649393,nan,nan,0.002
20,0.29963307077950047,0.06728120537051367,0.09639619867929297,0.34178710423217545,0.2558772740036845,0.3099933116597533,0.002
21,0.2876447470452325,0.0637350316735443,0.09595451935266908,0.3271275302830685,nan,nan,0.002
22,0.27667943531972655,0.06064491259933108,0.09550998973564194,0.3135873011118257,nan,nan,0.002
23,0.26678372502477027,0.05808164763529314,0.09511529405820125,0.3011389248330143,nan,nan,0.002
24,0.25762009293578675,0.05569928526174697,0.09476115653046932,0.28961408112305687,nan,nan,0.002
25,0.24913898875867307,0.05354755024294619,0.09443828464483904,0.2788918176539453,nan,nan,0.002
26,0.24133740497144784,0.05140180777485766,0.0941147680786244,0.2692093247542643,nan,nan,0.002
27,0.23389170031706805,0.04974234798405001,0.09360172090632315,0.25969011047726526,nan,nan,0.002
28,0.22689973528292165,0.04813592374608838,0.09296652158628925,0.2508816958350199,nan,nan,0.002
29,0.22023039355752216,0.046449432148921735,0.09239221705769891,0.242616902600813,nan,nan,0.002
30,0.2137310675465706,0.0448369531114786,0.0917157873191431,0.2345946499421683,0.21001770146508855,0.3021753677238567,0.002
31,0.20752253348416616,0.043426779011756705,0.09090909573908498,0.2268876055659147,nan,nan,0.002
32,0.20149156194368695,0.042086657452493195,0.08993879993215774,0.2194717763435556,nan,nan,0.002
33,0.19575272704213326,0.04073082229220022,0.08898279710835343,0.21251340548350672,nan,nan,0.002
34,0.19008632186780827,0.039328807703517286,0.08802476055228302,0.20571373948803534,nan,nan,0.002
35,0.18442275414244189,0.03810082191550489,0.08686247987321917,0.1988543876026723,nan,nan,0.002
36,0.17874024949701267,0.03679497060064821,0.08565936647576118,0.192065754369346,nan,nan,0.002
37,0.17345462619647212,0.035626750919756624,0.0843581827162332,0.18580288330453648,nan,nan,0.002
38,0.16820590287864434,0.034478303242131185,0.08302793976885887,0.17959265669562838,nan,nan,0.002
39,0.1630056069862464,0.03308370808528841,0.08190009642671547,0.17359409689455157,nan,nan,0.002
40,0.15793603598513317,0.03179565497419229,0.08065327241763207,0.16775417677805682,0.176873818669649,0.28255949353345194,0.002
41,0.1528139421835025,0.030858949331315704,0.0790093277440137,0.16169593908883464,nan,nan,0.002
42,0.1479154188139553,0.029643400148686043,0.07768816161515474,0.15608669561846952,nan,nan,0.002
43,0.14312326528731728,0.0285159791996142,0.07631206418387756,0.1505825482203245,nan,nan,0.002
44,0.13841138252994997,0.027400105201838627,0.07486272247446477,0.14522978658875724,nan,nan,0.002
45,0.13387245244432083,0.026374241508328258,0.07338308255914468,0.14006941010493357,nan,nan,0.002
46,0.12939824241740114,0.025338070251301022,0.07191188440685758,0.13501436494100816,nan,nan,0.002
47,0.12503811860595834,0.02425413165536931,0.07057016755225175,0.13011288367181567,nan,nan,0.002
48,0.1209091004863183,0.02327636484478092,0.06911712678201305,0.12552072148231716,nan,nan,0.002
49,0.11684608037870081,0.022465528286405228,0.06750171848189418,0.120950593113653,nan,nan,0.002
50,0.11303295399683151,0.02155209521179199,0.06613907320373277,0.11673140998132338,0.14528537204913877,0.2556589626003738,0.002
51,0.1092842056068878,0.020706280024256472,0.06465840201258173,0.11260720444110384,nan,nan,0.002
52,0.10562036111534,0.01990388287347991,0.06321832861014375,0.1085483418985042,nan,nan,0.002
53,0.1021702133831386,0.019152252417476475,0.06172959503764838,0.10479367853631069,nan,nan,0.002
54,0.09885105746896637,0.018380644725214928,0.060352500460301155,0.10120040497918656,nan,nan,0.002
55,0.09568264258121355,0.017663035902468736,0.058956330001263255,0.09779531345256423,nan,nan,0.002
56,0.0925600983273901,0.016972572603084903,0.057571897419957996,0.09442732621292249,nan,nan,0.002
