epoch,loss,energy_loss,stress_global_loss,stress_component_loss,training_energy_relative_l2,training_stress_relative_l2,learning_rate
1,0.6821363690993083,0.45982340235014113,0.3832511575717166,0.6450305221550854,0.6587532551638677,0.5983017397612449,0.002
2,0.5980821792585558,0.4075845024763782,0.33315225264891013,0.6426988104094408,nan,nan,0.002
3,0.506014336682635,0.3482691587881729,0.2796393834703223,0.6535913233900897,nan,nan,0.002
4,0.4096034705817129,0.2823153418816677,0.22609849835862905,0.6880386169286035,nan,nan,0.002
5,0.31863678587702954,0.21390176003870623,0.17960064185187047,0.7581761362485889,nan,nan,0.002
6,0.2478394713005402,0.15113775908932994,0.1495999278924757,0.8706175628970314,nan,nan,0.002
7,0.208346889174516,0.10472074895576895,0.1402784023532662,1.003091808424357,nan,nan,0.002
8,0.19479147180586262,0.07891969297477379,0.14349367137225968,1.1036058338353794,nan,nan,0.002
9,0.19118339779114385,0.06917251177923885,0.1462212651346386,1.137904179295055,nan,nan,0.002
10,0.18889691501397168,0.06663000943043439,0.14558740888418933,1.1322003974902974,0.25705508756613127,0.38048127125498343,0.002
11,0.18659140893829895,0.06573430518121127,0.14386411057051166,1.113443788766322,nan,nan,0.002
12,0.18417907545410508,0.06471796190939305,0.14211240021299953,1.096238122467517,nan,nan,0.002
13,0.1818240717515132,0.06373238045437081,0.1403980244561722,1.0768426659175685,nan,nan,0.002
14,0.17930679537886435,0.06278587849507855,0.13849597435706332,1.0577402941164793,nan,nan,0.002
15,0.17677422721785274,0.061726327232487554,0.1366521145167358,1.0392805441828754,nan,nan,0.002
16,0.17415460000129446,0.0608045487680149,0.13463164330208477,1.0181084869997654,nan,nan,0.002
17,0.17153906032374186,0.05988600078993921,0.13261315981028135,0.9970352985400751,nan,nan,0.002
18,0.16886082035555774,0.05878079010298841,0.13065330678861523,0.9772220014421102,nan,nan,0.002
19,0.1661617226707372,0.05786735742840574,0.12854794034227343,0.9560571650516473,nan,nan,0.002
20,0.1634074540557536,0.05687138897917602,0.12644105121928922,0.9338927519191982,0.23730582038921072,0.35405600632978823,0.002
21,0.16065985767534496,0.05590421841750654,0.12432211570396572,0.9130983683247209,nan,nan,0.002
22,0.15780969542049614,0.054933209359794226,0.12210310933662985,0.891474290162177,nan,nan,0.002
23,0.15499447966594515,0.05405814423153781,0.11985668591544558,0.8687810776078606,nan,nan,0.002
24,0.1522035098957004,0.05304162889776223,0.11772645111215493,0.847626963281679,nan,nan,0.002
25,0.14930987583030245,0.052283794440176445,0.1153254094441878,0.8245836004604838,nan,nan,0.002
26,0.14645662928196237,0.05117931224407427,0.11319007632331411,0.8037741055355538,nan,nan,0.002
27,0.14357656209667294,0.050403767684065764,0.1108141131020302,0.7813956674091299,nan,nan,0.002
28,0.14069135512819916,0.049475335128703106,0.10853238729454215,0.7597406511302524,nan,nan,0.002
29,0.13779628091807247,0.04845159938353426,0.10630274131877517,0.738932744025434,nan,nan,0.002
30,0.13487549986144845,0.04772101464994827,0.1038568403389821,0.7177014583284647,0.21730326806663836,0.3204238378639727,0.002
31,0.1319688289191634,0.04677585888172922,0.10156452064603938,0.6970621456530396,nan,nan,0.002
32,0.12907799196047806,0.045861462889846265,0.09926804108207798,0.676679707721191,nan,nan,0.002
33,0.12614806886621047,0.04516013872681279,0.09679397869378219,0.6558520621182178,nan,nan,0.002
34,0.12322145649584,0.044057456648481694,0.09458410967432686,0.6371466743772232,nan,nan,0.002
35,0.12032244650863469,0.043417686372006825,0.09210095036683026,0.6173860232458561,nan,nan,0.002
36,0.11745087397930384,0.04237305972125814,0.08990838516048606,0.5989859476667002,nan,nan,0.002
37,0.11456851685942748,0.041594414789096416,0.08753214724651481,0.5807289483138953,nan,nan,0.002
38,0.11173679423521056,0.040682797114621264,0.08529297611070673,0.56298335037318,nan,nan,0.002
39,0.10889987910090132,0.03986754041154295,0.08298597783339837,0.5453456000865213,nan,nan,0.002
40,0.1061153101796803,0.03901377500315918,0.08075635642762681,0.5285435360685459,0.19622031676885876,0.28228954014379565,0.002
41,0.10341788630544631,0.038117679370667824,0.0786413947145122,0.5125944186611703,nan,nan,0.002
42,0.10073465234758378,0.03734898857529623,0.07645780977364121,0.4962470119496584,nan,nan,0.002
43,0.09813390805823845,0.03644926062259307,0.07444188865355293,0.4808353115633802,nan,nan,0.002
44,0.09559160184395477,0.03562336098013915,0.07243641720686433,0.4660744078565692,nan,nan,0.002
45,0.09311493156492767,0.034953713236666704,0.07039501796109435,0.4514509644961989,nan,nan,0.002
46,0.0907249499990905,0.034178831838145754,0.06850870930429577,0.4373525738580806,nan,nan,0.002
47,0.08839300242802983,0.03329919696443299,0.06674852440114838,0.42377663750578104,nan,nan,0.002
48,0.08615850910945862,0.03253734863861303,0.06500923249436018,0.4104756203603611,nan,nan,0.002
49,0.08399809311908911,0.03172600361446059,0.06337619076968973,0.3978709829223992,nan,nan,0.002
50,0.0819116596828874,0.031023734862024557,0.061746232022571415,0.3849253212393934,0.1752535982593294,0.24672355755221775,0.002
51,0.07985876386080017,0.030281224122260537,0.060175968181330815,0.37260358105921026,nan,nan,0.002
52,0.07788603427716859,0.029346390979585805,0.05881088014043785,0.36086918059874024,nan,nan,0.002
53,0.07597690411805587,0.02859072759365901,0.0573929311821775,0.34900957615704975,nan,nan,0.002
54,0.07410835988135715,0.02791579855956978,0.055963090817636806,0.3370709044613453,nan,nan,0.002
55,0.07231132129508891,0.027002748561419723,0.05475953473016609,0.3261490398539678,nan,nan,0.002
56,0.07055100634415438,0.02631094563079087,0.05344889168414033,0.3146504099541123,nan,nan,0.002
57,0.06886865957163828,0.02557396337343118,0.05224558337890802,0.3037933915598155,nan,nan,0.002
58,0.06719630255012789,0.02470980066665215,0.051134932116804005,0.29268912012159404,nan,nan,0.002
59,0.06559973690959195,0.02413961645663531,0.049908986212779,0.2822992982827915,nan,nan,0.002
60,0.06409805995094836,0.02319961030266093,0.04901831325421876,0.2724951274975489,0.15230329587805197,0.21958293264378909,0.002
61,0.06260489103014343,0.022648651367291526,0.04788326764140392,0.2624507587099585,nan,nan,0.002
62,0.06114502242995468,0.022022216513026025,0.04683058169648778,0.2528441751026475,nan,nan,0.002
63,0.05976389228240569,0.021354020955218118,0.04588377866151391,0.24370423382803527,nan,nan,0.002
64,0.05843255750188901,0.02071236303738426,0.04496952152758927,0.23506129755095018,nan,nan,0.002
65,0.05716588763934873,0.020123109971696154,0.04408586615774624,0.2266020671613808,nan,nan,0.002
66,0.05595082317255848,0.01955127231503611,0.04324249616778499,0.2185509487568502,nan,nan,0.002
67,0.05477204083121578,0.019023831336493255,0.04240655046249515,0.21090865538647663,nan,nan,0.002
68,0.05363309943535878,0.018568281052091334,0.04156371675149941,0.20354212255346735,nan,nan,0.002
69,0.052524479837609966,0.018141819227630553,0.04073229733965011,0.19664406929002448,nan,nan,0.002
70,0.051510688863749765,0.01756206409808774,0.040095347199992734,0.19014790874978993,0.1327485601321811,0.19883132255612337,0.002
71,0.05052005012312049,0.017265675435589076,0.039297361089987604,0.1840294768714811,nan,nan,0.002
72,0.049532263514364266,0.01686624730515864,0.03856920276601116,0.17785522834668027,nan,nan,0.002
73,0.04861062220808498,0.01650441340309183,0.03788275349607529,0.1720661741294977,nan,nan,0.002
