Total batches: 225
Batch info (theta, phi, strain):
Batch 62: theta=100.00, phi=25.00, strain=[0.0090630778703665, 0.0089253893528903, 0.004161977407267834]
Batch 63: theta=100.00, phi=50.00, strain=[0.006427876096865394, 0.006330222215594891, 0.007544065067354889]
Batch 64: theta=100.00, phi=75.00, strain=[0.0025881904510252074, 0.0025488700224417875, 0.009512512425641977]
Batch 65: theta=100.00, phi=100.00, strain=[-0.001736481776669303, -0.0017101007166283432, 0.009698463103929541]
Batch 66: theta=100.00, phi=125.00, strain=[-0.005735764363510461, -0.005648625214636235, 0.008067072841115987]
Batch 67: theta=100.00, phi=150.00, strain=[-0.008660254037844387, -0.008528685319524432, 0.00492403876506104]
Batch 68: theta=100.00, phi=175.00, strain=[-0.009961946980917456, -0.00981060262190407, 0.0008583165117743132]
Batch 69: theta=100.00, phi=200.00, strain=[-0.009396926207859084, -0.009254165783983234, -0.003368240888334651]
Batch 70: theta=100.00, phi=225.00, strain=[-0.007071067811865477, -0.006963642403200191, -0.0069636424032001884]
Batch 71: theta=100.00, phi=250.00, strain=[-0.0034202014332566856, -0.00336824088833465, -0.009254165783983234]
Batch 72: theta=100.00, phi=275.00, strain=[0.0008715574274765789, 0.0008583165117743101, -0.00981060262190407]
Batch 73: theta=100.00, phi=300.00, strain=[0.005000000000000001, 0.004924038765061041, -0.008528685319524432]
Batch 74: theta=100.00, phi=325.00, strain=[0.008191520442889916, 0.008067072841115986, -0.0056486252146362385]
Batch 75: theta=100.00, phi=350.00, strain=[0.00984807753012208, 0.009698463103929541, -0.001710100716628344]
Batch 76: theta=125.00, phi=0.00, strain=[0.01, 0.008191520442889916, 0.0]
Batch 77: theta=125.00, phi=25.00, strain=[0.0090630778703665, 0.00742403876506104, 0.003461886130587541]
Batch 78: theta=125.00, phi=50.00, strain=[0.006427876096865394, 0.005265407845183632, 0.006275068715971331]
Batch 79: theta=125.00, phi=75.00, strain=[0.0025881904510252074, 0.002120121498966546, 0.007912401152362237]
Batch 80: theta=125.00, phi=100.00, strain=[-0.001736481776669303, -0.00142244259722924, 0.008067072841115987]
Batch 81: theta=125.00, phi=125.00, strain=[-0.005735764363510461, -0.004698463103929542, 0.006710100716628343]
Batch 82: theta=125.00, phi=150.00, strain=[-0.008660254037844387, -0.007094064799162224, 0.004095760221444958]
Batch 83: theta=125.00, phi=175.00, strain=[-0.009961946980917456, -0.008160349234517082, 0.0007139380484326967]
Batch 84: theta=125.00, phi=200.00, strain=[-0.009396926207859084, -0.007697511313200571, -0.002801664995932354]
Batch 85: theta=125.00, phi=225.00, strain=[-0.007071067811865477, -0.005792279653395693, -0.005792279653395691]
Batch 86: theta=125.00, phi=250.00, strain=[-0.0034202014332566856, -0.0028016649959323532, -0.007697511313200571]
Batch 87: theta=125.00, phi=275.00, strain=[0.0008715574274765789, 0.0007139380484326942, -0.008160349234517082]
Batch 88: theta=125.00, phi=300.00, strain=[0.005000000000000001, 0.00409576022144496, -0.007094064799162224]
Batch 89: theta=125.00, phi=325.00, strain=[0.008191520442889916, 0.006710100716628341, -0.004698463103929545]
Batch 90: theta=125.00, phi=350.00, strain=[0.00984807753012208, 0.008067072841115987, -0.0014224425972292408]
Batch 91: theta=150.00, phi=0.00, strain=[0.01, 0.004999999999999999, 0.0]
Batch 92: theta=150.00, phi=25.00, strain=[0.0090630778703665, 0.004531538935183249, 0.002113091308703497]
Batch 93: theta=150.00, phi=50.00, strain=[0.006427876096865394, 0.003213938048432696, 0.0038302222155948895]
Batch 94: theta=150.00, phi=75.00, strain=[0.0025881904510252074, 0.0012940952255126035, 0.004829629131445341]
Batch 95: theta=150.00, phi=100.00, strain=[-0.001736481776669303, -0.0008682408883346514, 0.00492403876506104]
Batch 96: theta=150.00, phi=125.00, strain=[-0.005735764363510461, -0.00286788218175523, 0.004095760221444958]
Batch 97: theta=150.00, phi=150.00, strain=[-0.008660254037844387, -0.004330127018922193, 0.0024999999999999996]
Batch 98: theta=150.00, phi=175.00, strain=[-0.009961946980917456, -0.004980973490458727, 0.0004357787137382909]
Batch 99: theta=150.00, phi=200.00, strain=[-0.009396926207859084, -0.004698463103929542, -0.001710100716628343]
