element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
9.070000000000000000e+02,1.728222867927462283e-02,5.479355885958131722e+01,3.186012571896074519e+01,1.719273712667848342e+00,5.108286191089289434e-03,4.812974627093086037e-03,5.983383932190796013e-03
4.650000000000000000e+02,6.289012279567032948e+01,1.112709545965439162e+02,9.870362517955193482e+01,4.901626633557170098e-01,2.415965635934008097e-03,2.573115874897018065e-03,2.703312582939888450e-03
6.600000000000000000e+01,1.027784426308814147e+02,1.376138642908670420e+02,1.188087888698541263e+02,2.932057635748239743e-01,1.246064979525990770e-03,1.385933453763792600e-03,1.571607821155849519e-03
8.800000000000000000e+01,1.098037708328786550e+02,1.641187214574258633e+02,1.269594398294045732e+02,4.278134079476895724e-01,2.444736555073673528e-03,2.536753103288371877e-03,2.568712277578896405e-03
7.690000000000000000e+02,9.164852226373169231e+01,1.220562981802285520e+02,1.022108863804372731e+02,2.975003641326094406e-01,1.291763938537716754e-03,1.205628686129710161e-03,2.054509512629492610e-03
9.100000000000000000e+01,4.302791986084618969e+01,1.033955052876179224e+02,9.324986611422328053e+01,6.473744997427287595e-01,5.329145972832844205e-03,5.861219292165716077e-03,5.675049609847444831e-03
2.930000000000000000e+02,1.055659889181485340e+02,1.327347000350785038e+02,1.142713721027370894e+02,2.377560592560628849e-01,1.140399576065821837e-03,1.178431824506689452e-03,1.412132932876552019e-03
9.770000000000000000e+02,9.234813908551326733e+01,1.336868224203622901e+02,1.121105964429283262e+02,3.687312764935037346e-01,1.204723445067573499e-03,1.436624326914532832e-03,1.436560869916154873e-03
9.880000000000000000e+02,7.810103656883731560e+01,1.233885530886822863e+02,8.820055129678985395e+01,5.134606967189473403e-01,2.670237276184470043e-03,3.000031545225328652e-03,2.853972938076047156e-03
7.040000000000000000e+02,8.454237412028085430e+01,1.546688267246798318e+02,1.036247480651128825e+02,6.767346016642167283e-01,3.975571871496951654e-03,4.323445190673499104e-03,4.720530988304509970e-03
