Total batches: 9
Batch info (theta, phi, strain):
Batch 1: theta=0.00, phi=0.00, strain=[0.01, 0.0, 0.0]
Batch 2: theta=0.00, phi=25.00, strain=[0.0090630778703665, 0.0, 0.0]
Batch 3: theta=0.00, phi=50.00, strain=[0.006427876096865394, 0.0, 0.0]
Batch 4: theta=25.00, phi=0.00, strain=[0.01, 0.004226182617406995, 0.0]
Batch 5: theta=25.00, phi=25.00, strain=[0.0090630778703665, 0.0038302222155948903, 0.0017860619515673035]
Batch 6: theta=25.00, phi=50.00, strain=[0.006427876096865394, 0.0027165378227418445, 0.003237443709670646]
Batch 7: theta=50.00, phi=0.00, strain=[0.01, 0.007660444431189781, 0.0]
Batch 8: theta=50.00, phi=25.00, strain=[0.0090630778703665, 0.006942720440148839, 0.003237443709670646]
Batch 9: theta=50.00, phi=50.00, strain=[0.006427876096865394, 0.004924038765061041, 0.005868240888334652]
